,average_word_length,nbwords,title
196,3.19410977242,6266,Hilbert's third problem
197,3.26089703095,6745,Geometry of numbers
198,2.46265938069,1901,Geometric shape
199,3.31302717901,13806,Similarity (geometry)
200,3.78548559232,26904,Non-uniform rational B-spline
201,2.84158097686,11955,Ptolemy's theorem
202,4.58671475804,18587,Van Hiele model
203,3.18253701211,24861,Four-dimensional space
204,2.71585735964,19590,Trigonometry
205,2.9140969163,1777,Hadwiger's theorem
206,1.12509342302,22747,Johnson solid
207,0.415023681022,12847,Schläfli symbol
208,3.6371125384,33211,Regular polytope
209,4.05340453939,7570,Transformation geometry
210,2.81896551724,1772,Sphericon
211,3.59970118377,40022,Non-Euclidean geometry
212,2.65340030912,9455,Thales' theorem
213,3.22196900638,9263,Distance geometry
214,2.79537556803,28397,Tessellation
215,3.36146306479,18244,Polytope
216,3.77292409577,37477,Projective plane
217,3.26571428571,8958,Heronian triangle
218,3.48672566372,1014,Pedoe's inequality
219,3.41821247892,2620,Complex projective plane
220,3.56364163526,15740,Riemann sphere
221,3.76636188643,19809,Binary space partitioning
222,3.61721688257,11049,Nine-point circle
223,3.40484067561,25297,Topology
224,3.7632909453,31090,Space group
225,3.57588097103,29217,Projective geometry
226,3.45749961222,57475,Computer graphics
227,3.38336686787,32678,Angle
228,2.2429710449,7728,Heron's formula
229,3.49217731421,6891,Mirror image
230,2.33412154174,14100,Riemannian geometry
231,3.81086990473,30804,Handedness
232,3.11138912056,44366,Möbius transformation
233,2.91570486397,18999,Minkowski space
234,2.77131979695,14859,Angle trisection
235,3.22369668246,4456,Euclidean shortest path
236,3.45950155763,8589,Relative direction
237,2.23441539787,11259,Minkowski addition
238,2.35929786067,6124,Inscribed angle
239,3.08770491803,4987,Minkowski's theorem
240,2.35316159251,7159,Quadric
241,2.1473197069,8161,Parametric equation
242,3.00275862069,20314,Differential geometry
243,3.28283337535,50970,Mathematics
244,4.04746257758,27650,Quasicrystal
245,3.19881333584,44583,Pythagorean triple
246,2.5023923445,732,Heronian tetrahedron
247,2.89741195304,29215,Analytic geometry
248,1.33103448276,4056,Prototile
249,3.95611540024,12197,Point location
250,3.26379575018,52773,Triangle
251,3.55528846154,7580,Dividing a circle into areas
252,4.04869631902,13167,Noncommutative geometry
253,2.9608559499,7589,Concyclic points
254,3.51454990481,16600,Inversive geometry
255,3.14189025864,34270,Conic section
256,3.55695142379,10882,Shape
257,3.37902673064,6389,Graham scan
258,2.2703607289,8794,Parallelepiped
259,3.67755468984,15609,Conformal geometry
260,2.34496431404,4218,Locus (mathematics)
261,2.89011890119,18976,Aperiodic tiling
262,2.65788584938,10831,Right triangle
263,3.89409448819,12431,Symmetry group
264,2.96759259259,5142,Constructive solid geometry
265,3.46977372509,13235,Pascal's theorem
266,2.9812909261,4256,Pick's theorem
267,2.69502971367,27358,List of interactive geometry software
268,2.90708418891,30444,Stereographic projection
269,3.30429292929,3409,Infinitesimal transformation
270,3.09786428765,15158,Cyclic quadrilateral
271,2.76827094474,4228,Euclidean distance
272,3.47963206307,20454,Homography
273,2.55229357798,3872,Spheroid
274,4.75845974329,4935,Convex geometry
275,2.62151394422,1818,Coordinate-free
276,2.92604166667,33921,Penrose tiling
277,3.93138686131,6756,Image analysis
278,4.07547169811,2152,Hyperplane at infinity
279,1.40151515152,317,Hermite spline
280,3.38034865293,16584,Cross-ratio
281,2.99464882943,5972,Reflection (mathematics)
282,-0.391382930654,22898,Point group
283,2.87048440066,37714,Point groups in three dimensions
284,2.43479269802,44405,Wallpaper group
285,3.98788198103,9467,Frieze group
286,3.75019275251,12322,Hilbert's axioms
287,3.37747492929,17024,Finite geometry
288,2.59622367466,4952,Chirality (mathematics)
289,2.81742738589,7360,Cross section (geometry)
290,3.2406779661,5004,Ordered geometry
291,2.48683015441,3839,Parallelogram law
292,3.84087591241,9948,Orthocentric system
293,1.1230454207,11405,Kite (geometry)
294,3.07728800158,20627,Sphere
295,2.97505938242,6694,Hyperplane
296,2.36628769155,6810,Hyperboloid
297,3.60030959752,14859,Delaunay triangulation
298,3.29361702128,3027,Homothetic transformation
299,3.4810298103,6614,Curve of constant width
300,2.90623461046,39660,Ellipse
301,3.07075471698,2589,Coordinate rotations and reflections
302,3.67281879195,2785,Internal and external angle
