,title,Pageid,Length,NS,Nb revisions,Nb revisions IP,Nb revisions bot,Nb revisions wiki,Nb editos,Nb editors IP,Nb editors Bot,Nb editors Wiki,Links,Date
128,Parametric surface,3400953,13261,0,111,41,6,64,64,29,4,31,62,1792
129,Monge's theorem,14573037,3722,0,65,10,4,51,27,6,1,20,21,2515
130,Projective line,398578,9670,0,96,5,8,83,44,5,3,36,153,1061
131,Dissection problem,2915839,1818,0,30,5,6,19,19,4,2,13,26,1734
132,Polygon triangulation,679384,9669,0,170,55,17,98,95,36,10,49,61,1226
133,Contact geometry,476398,14437,0,163,33,14,116,90,29,8,53,75,1130
134,Translational symmetry,701100,7700,0,121,50,11,60,83,37,3,43,43,1235
135,Taxicab geometry,408354,7243,0,330,104,25,201,198,74,9,115,70,1068
136,Mathematical morphology,312810,22575,0,216,83,13,120,119,54,5,60,131,964
137,Homothetic center,15685517,20579,0,59,5,5,49,25,4,1,20,47,2582
138,Parabolic microphone,170175,1724,0,69,19,9,41,49,13,4,32,23,732
139,Toric variety,737087,8801,0,66,12,3,51,34,9,1,24,42,1251
140,Holditch's theorem,3521151,4584,0,37,5,6,26,24,1,2,21,23,1805
141,Star polygon,313303,12077,0,538,62,28,448,155,48,9,98,118,965
142,Squaring the circle,201359,23459,0,751,214,40,497,388,152,11,225,241,799
143,Parabolic geometry (differential geometry),30556018,3041,0,7,2,1,4,4,1,0,3,22,3658
144,Cone,782427,9449,0,775,349,76,350,492,251,11,230,71,1267
145,Dihedral angle,338046,12181,0,175,47,21,107,101,32,8,61,60,998
146,Coxeter group,297004,27873,0,312,52,15,245,118,41,10,67,219,942
147,Focus (geometry),1032607,8641,0,108,26,19,63,66,19,6,41,39,1355
148,Integer triangle,27430123,34545,0,198,15,5,178,27,5,1,21,81,3413
149,Leech lattice,344919,21298,0,180,24,6,150,71,20,2,49,118,1007
150,Golden angle,315659,3672,0,123,24,18,81,78,21,11,46,41,969
151,Solid geometry,507960,2641,0,137,42,29,66,112,39,10,63,62,1146
152,Computational geometry,176927,13841,0,262,64,19,179,153,45,9,99,205,746
153,Ellipsoid,145381,12064,0,432,171,38,223,266,127,10,129,79,663
154,Cavalieri's principle,21697672,9676,0,139,21,11,107,58,17,5,36,73,2963
155,Tropical geometry,867041,11128,0,141,31,11,99,84,20,6,58,55,1292
156,Pappus's hexagon theorem,1493395,12181,0,140,29,13,98,65,17,6,42,47,1488
157,Tangential quadrilateral,9176412,31423,0,207,7,16,184,40,5,7,28,81,2204
158,Circumscribed circle,1926432,26951,0,364,106,34,224,190,77,12,101,116,1588
159,Convex uniform honeycomb,2961,63670,0,833,50,12,771,84,24,5,55,204,339
160,Translation (geometry),204682,7286,0,241,75,38,128,166,55,8,103,46,806
